autolabel_map.feature,autolabel_map.tag,autolabel_map.cnt,autolabel_map.month,autolabel_map.day
ft_gz_black_list,1,31014,201910,20191016
ft_gz_black_list,blank,18147164,201910,20191016
ft_gz_grey_list,1,486419,201910,20191016
ft_gz_grey_list,blank,17691759,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,0,363470,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,1,9390445,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,2,1082629,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,3,43319,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,4,128258,201910,20191016
ft_app_ins_current_finance_cnt_m_rate,blank,7170057,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,0,5864706,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,1,56,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,2,4,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,3,1,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,4,1,201910,20191016
ft_act_2week_work_active_period_ls_hour18_23,blank,12313410,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,0,3527528,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,1,164,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,2,11,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,3,7,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,4,2,201910,20191016
ft_act_2week_work_active_period_ls_hour5_7,blank,14650466,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,0,5413125,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,1,51,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,2,1,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,3,1,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,4,1,201910,20191016
ft_act_2week_work_active_period_ls_hour8_11,blank,12764999,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,0,175691,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,1,725722,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,2,154673,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,3,20709,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,4,102016,201910,20191016
ft_app_ins_current_debit_credit_cnt_m_rate,blank,16999367,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,0,102872,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,1,303564,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,2,69295,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,3,9546,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,4,60837,201910,20191016
ft_app_ins_current_micro_loan_cnt_m_rate,blank,17632064,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,0,726903,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,1,1599940,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,2,591309,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,3,173799,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,4,281512,201910,20191016
ft_app_act_30d_finance_cnt_m_rate,blank,14804715,201910,20191016
ft_app_act_30d_finance_times_m_rate,0,1201708,201910,20191016
ft_app_act_30d_finance_times_m_rate,1,872579,201910,20191016
ft_app_act_30d_finance_times_m_rate,2,495838,201910,20191016
ft_app_act_30d_finance_times_m_rate,3,378587,201910,20191016
ft_app_act_30d_finance_times_m_rate,4,424751,201910,20191016
ft_app_act_30d_finance_times_m_rate,blank,14804715,201910,20191016
ft_app_act_30d_finance_days_m_rate,0,979323,201910,20191016
ft_app_act_30d_finance_days_m_rate,1,1135125,201910,20191016
ft_app_act_30d_finance_days_m_rate,2,615638,201910,20191016
ft_app_act_30d_finance_days_m_rate,3,308676,201910,20191016
ft_app_act_30d_finance_days_m_rate,4,334701,201910,20191016
ft_app_act_30d_finance_days_m_rate,blank,14804715,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,0,110194,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,1,87116,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,2,41218,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,3,18725,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,4,41146,201910,20191016
ft_app_act_30d_debit_credit_cnt_m_rate,blank,17879779,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,0,140516,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,1,50985,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,2,28828,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,3,28149,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,4,49921,201910,20191016
ft_app_act_30d_debit_credit_times_m_rate,blank,17879779,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,0,122648,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,1,67898,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,2,38631,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,3,25221,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,4,44001,201910,20191016
ft_app_act_30d_debit_credit_days_m_rate,blank,17879779,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,0,59339,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,1,27070,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,2,15546,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,3,9434,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,4,26395,201910,20191016
ft_app_act_30d_micro_loan_cnt_m_rate,blank,18040394,201910,20191016
ft_app_ins_current_finance_cnt_avg,0,14213577,201910,20191016
ft_app_ins_current_finance_cnt_avg,1,320836,201910,20191016
ft_app_ins_current_finance_cnt_avg,2,31087,201910,20191016
ft_app_ins_current_finance_cnt_avg,3,5365,201910,20191016
ft_app_ins_current_finance_cnt_avg,4,2339,201910,20191016
ft_app_ins_current_finance_cnt_avg,blank,3604974,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,0,67528,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,1,17310,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,2,9577,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,3,13074,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,4,30295,201910,20191016
ft_app_act_30d_micro_loan_times_m_rate,blank,18040394,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,0,62621,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,1,21323,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,2,13655,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,3,12373,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,4,27812,201910,20191016
ft_app_act_30d_micro_loan_days_m_rate,blank,18040394,201910,20191016
ft_app_ins_current_finance_cnt_cv,0,9754694,201910,20191016
ft_app_ins_current_finance_cnt_cv,1,700105,201910,20191016
ft_app_ins_current_finance_cnt_cv,2,303114,201910,20191016
ft_app_ins_current_finance_cnt_cv,3,36828,201910,20191016
ft_app_ins_current_finance_cnt_cv,4,268701,201910,20191016
ft_app_ins_current_finance_cnt_cv,blank,7114736,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,0,728801,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,1,83120,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,2,146277,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,3,19580,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,4,203942,201910,20191016
ft_app_ins_current_debit_credit_cnt_cv,blank,16996458,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,0,300048,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,1,31839,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,2,79609,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,3,9634,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,4,126345,201910,20191016
ft_app_ins_current_micro_loan_cnt_cv,blank,17630703,201910,20191016
ft_app_act_30d_finance_cnt_cv,0,1765799,201910,20191016
ft_app_act_30d_finance_cnt_cv,1,369086,201910,20191016
ft_app_act_30d_finance_cnt_cv,2,596729,201910,20191016
ft_app_act_30d_finance_cnt_cv,3,321765,201910,20191016
ft_app_act_30d_finance_cnt_cv,4,672012,201910,20191016
ft_app_act_30d_finance_cnt_cv,blank,14452787,201910,20191016
ft_app_act_30d_finance_times_cv,0,786132,201910,20191016
ft_app_act_30d_finance_times_cv,1,605360,201910,20191016
ft_app_act_30d_finance_times_cv,2,760930,201910,20191016
