feature|tag|min_value|max_value
ft_app_ins_current_finance_cnt_avg|0|-inf|10.0
ft_app_ins_current_finance_cnt_avg|1|10.0|20.0
ft_app_ins_current_finance_cnt_avg|2|20.0|30.0
ft_app_ins_current_finance_cnt_avg|3|30.0|40.0
ft_app_ins_current_finance_cnt_avg|4|40.0|inf
ft_app_ins_current_finance_cnt_diff_m_llm|0|-inf|-29.2
ft_app_ins_current_finance_cnt_diff_m_llm|1|-29.2|-9.4
ft_app_ins_current_finance_cnt_diff_m_llm|2|-9.4|10.4
ft_app_ins_current_finance_cnt_diff_m_llm|3|10.4|30.2
ft_app_ins_current_finance_cnt_diff_m_llm|4|30.2|inf
ft_app_ins_current_finance_cnt_diff_m_lm|0|-inf|-29.2
ft_app_ins_current_finance_cnt_diff_m_lm|1|-29.2|-9.4
ft_app_ins_current_finance_cnt_diff_m_lm|2|-9.4|10.4
ft_app_ins_current_finance_cnt_diff_m_lm|3|10.4|30.2
ft_app_ins_current_finance_cnt_diff_m_lm|4|30.2|inf
ft_app_ins_current_finance_cnt_std|0|-inf|4.9
ft_app_ins_current_finance_cnt_std|1|4.9|9.8
ft_app_ins_current_finance_cnt_std|2|9.8|14.7
ft_app_ins_current_finance_cnt_std|3|14.7|19.6
ft_app_ins_current_finance_cnt_std|4|19.6|inf
ft_app_ins_current_micro_loan_cnt_avg|0|-inf|10.0
ft_app_ins_current_micro_loan_cnt_avg|1|10.0|20.0
ft_app_ins_current_micro_loan_cnt_avg|2|20.0|30.0
ft_app_ins_current_micro_loan_cnt_avg|3|30.0|40.0
ft_app_ins_current_micro_loan_cnt_avg|4|40.0|inf
ft_app_ins_current_micro_loan_cnt_diff_m_llm|0|-inf|-30.0
ft_app_ins_current_micro_loan_cnt_diff_m_llm|1|-30.0|-10.0
ft_app_ins_current_micro_loan_cnt_diff_m_llm|2|-10.0|10.0
ft_app_ins_current_micro_loan_cnt_diff_m_llm|3|10.0|30.0
ft_app_ins_current_micro_loan_cnt_diff_m_llm|4|30.0|inf
ft_app_ins_current_micro_loan_cnt_diff_m_lm|0|-inf|-30.0
ft_app_ins_current_micro_loan_cnt_diff_m_lm|1|-30.0|-10.0
ft_app_ins_current_micro_loan_cnt_diff_m_lm|2|-10.0|10.0
ft_app_ins_current_micro_loan_cnt_diff_m_lm|3|10.0|30.0
ft_app_ins_current_micro_loan_cnt_diff_m_lm|4|30.0|inf
ft_app_ins_current_micro_loan_cnt_std|0|-inf|5.0
ft_app_ins_current_micro_loan_cnt_std|1|5.0|10.0
ft_app_ins_current_micro_loan_cnt_std|2|10.0|15.0
ft_app_ins_current_micro_loan_cnt_std|3|15.0|20.0
ft_app_ins_current_micro_loan_cnt_std|4|20.0|inf
ft_app_ins_current_finance_cnt_m_rate|0|-inf|0.6
ft_app_ins_current_finance_cnt_m_rate|1|0.6|1.2
ft_app_ins_current_finance_cnt_m_rate|2|1.2|1.8
ft_app_ins_current_finance_cnt_m_rate|3|1.8|2.4
ft_app_ins_current_finance_cnt_m_rate|4|2.4|inf
ft_app_ins_current_debit_credit_cnt_m_rate|0|-inf|0.6
ft_app_ins_current_debit_credit_cnt_m_rate|1|0.6|1.2
ft_app_ins_current_debit_credit_cnt_m_rate|2|1.2|1.8
ft_app_ins_current_debit_credit_cnt_m_rate|3|1.8|2.4
ft_app_ins_current_debit_credit_cnt_m_rate|4|2.4|inf
ft_app_ins_current_micro_loan_cnt_m_rate|0|-inf|0.6
ft_app_ins_current_micro_loan_cnt_m_rate|1|0.6|1.2
ft_app_ins_current_micro_loan_cnt_m_rate|2|1.2|1.8
ft_app_ins_current_micro_loan_cnt_m_rate|3|1.8|2.4
ft_app_ins_current_micro_loan_cnt_m_rate|4|2.4|inf
ft_app_act_30d_finance_cnt_m_rate|0|-inf|0.6
