feature|if_continuous|tag|min_value|max_value|chinese_name
ft_app_ins_current_finance_cnt_avg|1|0|-inf|10.0|近三个月当前金融类APP安装的平均个数
ft_app_ins_current_finance_cnt_avg|1|1|10.0|20.0|近三个月当前金融类APP安装的平均个数
ft_app_ins_current_finance_cnt_avg|1|2|20.0|30.0|近三个月当前金融类APP安装的平均个数
ft_app_ins_current_finance_cnt_avg|1|3|30.0|40.0|近三个月当前金融类APP安装的平均个数
ft_app_ins_current_finance_cnt_avg|1|4|40.0|inf|近三个月当前金融类APP安装的平均个数
ft_app_ins_current_finance_cnt_diff_m_llm|1|0|-inf|-29.2|当前月金融类APP安装个数与上上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_llm|1|1|-29.2|-9.4|当前月金融类APP安装个数与上上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_llm|1|2|-9.4|10.4|当前月金融类APP安装个数与上上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_llm|1|3|10.4|30.2|当前月金融类APP安装个数与上上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_llm|1|4|30.2|inf|当前月金融类APP安装个数与上上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_lm|1|0|-inf|-29.2|当前月金融类APP安装个数与上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_lm|1|1|-29.2|-9.4|当前月金融类APP安装个数与上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_lm|1|2|-9.4|10.4|当前月金融类APP安装个数与上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_lm|1|3|10.4|30.2|当前月金融类APP安装个数与上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_diff_m_lm|1|4|30.2|inf|当前月金融类APP安装个数与上月金融类APP安装个数的差异值
ft_app_ins_current_finance_cnt_std|1|0|-inf|4.9|近三个月当前金融类APP安装个数的标准差
ft_app_ins_current_finance_cnt_std|1|1|4.9|9.8|近三个月当前金融类APP安装个数的标准差
ft_app_ins_current_finance_cnt_std|1|2|9.8|14.7|近三个月当前金融类APP安装个数的标准差
ft_app_ins_current_finance_cnt_std|1|3|14.7|19.6|近三个月当前金融类APP安装个数的标准差
ft_app_ins_current_finance_cnt_std|1|4|19.6|inf|近三个月当前金融类APP安装个数的标准差
ft_app_ins_current_micro_loan_cnt_avg|1|0|-inf|10.0|近三个月当前小贷类APP安装的平均个数
ft_app_ins_current_micro_loan_cnt_avg|1|1|10.0|20.0|近三个月当前小贷类APP安装的平均个数
ft_app_ins_current_micro_loan_cnt_avg|1|2|20.0|30.0|近三个月当前小贷类APP安装的平均个数
ft_app_ins_current_micro_loan_cnt_avg|1|3|30.0|40.0|近三个月当前小贷类APP安装的平均个数
ft_app_ins_current_micro_loan_cnt_avg|1|4|40.0|inf|近三个月当前小贷类APP安装的平均个数
ft_app_ins_current_micro_loan_cnt_diff_m_llm|1|0|-inf|-30.0|当前月小贷类APP安装个数与上上月小贷类APP安装个数的差异值
ft_app_ins_current_micro_loan_cnt_diff_m_llm|1|1|-30.0|-10.0|当前月小贷类APP安装个数与上上月小贷类APP安装个数的差异值
ft_app_ins_current_micro_loan_cnt_diff_m_llm|1|2|-10.0|10.0|当前月小贷类APP安装个数与上上月小贷类APP安装个数的差异值
ft_app_ins_current_micro_loan_cnt_diff_m_llm|1|3|10.0|30.0|当前月小贷类APP安装个数与上上月小贷类APP安装个数的差异值
